Reservoir_name,Basin,subbasin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-07-24,2018,7,830,2.615,0.867,779.1
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-07-25,2018,7,830,2.615,0.947,781.95
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-07-30,2018,7,830,2.615,1.297,793.95
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-08-02,2018,8,830,2.615,1.331,795.05
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-08-13,2018,8,830,2.615,1.689,806.0
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-08-16,2018,8,830,2.615,1.776,808.5
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-08-21,2018,8,830,2.615,1.967,813.8
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-08-22,2018,8,830,2.615,1.993,814.45
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-08-31,2018,8,830,2.615,2.206,820.0
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-08-05,2018,8,830,2.615,1.407,797.45
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-08-07,2018,8,830,2.615,1.487,800.0
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-08-08,2018,8,830,2.615,1.55,801.85
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-08-09,2018,8,830,2.615,1.587,802.95
